Bacterial_associate_taxa,Found_in_16S-CC,Found_in_BSS,Found_in_previous_work,Fungal_host_taxa,Link,Source,Bacterial_associate_taxa_taxid,Fungal_host_taxa_taxid,Bacterial_phylum,Fungal_phylum,bact_id,fung_id,bact_phylum_id,fung_phylum_id
Clostridium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1485,5506,Firmicutes,Ascomycota,10,679,119,1050
Comamonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",283,5506,Proteobacteria,Ascomycota,11,679,1025,1050
Corynebacterium,Yes,No,Yes,Suillus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,1716,5379,Actinobacteria,Basidiomycota,12,681,109,1052
Curtobacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",2034,5506,Actinobacteria,Ascomycota,13,679,109,1050
Delftia,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",80865,5506,Proteobacteria,Ascomycota,14,679,1025,1050
Dyella,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",231454,5506,Proteobacteria,Ascomycota,15,679,1025,1050
Enterobacter,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",547,5506,Proteobacteria,Ascomycota,16,679,1025,1050
Granulicatella,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",117563,5506,Firmicutes,Ascomycota,17,679,119,1050
Haemophilus,Yes,No,Yes,Phoma,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes,724,37463,Proteobacteria,Ascomycota,18,682,1025,1050
Lactobacillus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1578,5506,Firmicutes,Ascomycota,19,679,119,1050
Lactococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1357,5506,Firmicutes,Ascomycota,20,679,119,1050
Lysobacter,Yes,No,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium,68,5543,Proteobacteria,Ascomycota,21,678,1025,1050
Massilia,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",149698,5506,Proteobacteria,Ascomycota,22,679,1025,1050
Massilia,Yes,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,149698,5073,Proteobacteria,Ascomycota,22,683,1025,1050
Mesorhizobium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",68287,5506,Proteobacteria,Ascomycota,23,679,1025,1050
Microbacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",33882,5506,Actinobacteria,Ascomycota,24,679,109,1050
Mycobacterium,Yes,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior,1763,4830,Actinobacteria,Mucoromycota,25,680,109,1051
Novosphingobium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",165696,5506,Proteobacteria,Ascomycota,26,679,1025,1050
Pelomonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",335058,5506,Proteobacteria,Ascomycota,27,679,1025,1050
Propionibacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1743,5506,Actinobacteria,Ascomycota,28,679,109,1050
Pseudomonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",286,5506,Proteobacteria,Ascomycota,29,679,1025,1050
Pseudomonas,Yes,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil,286,5073,Proteobacteria,Ascomycota,29,683,1025,1050
Rhodococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1827,5506,Actinobacteria,Ascomycota,30,679,109,1050
Rothia,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",32207,5506,Actinobacteria,Ascomycota,31,679,109,1050
Sphingomonas,Yes,No,Yes,Phoma,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes,13687,37463,Proteobacteria,Ascomycota,32,682,1025,1050
Stenotrophomonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",40323,5506,Proteobacteria,Ascomycota,33,679,1025,1050
Streptococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1301,5506,Firmicutes,Ascomycota,34,679,119,1050
Variovorax,Yes,No,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium,34072,5543,Proteobacteria,Ascomycota,35,678,1025,1050
Acinetobacter,No,Yes,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,469,41955,Proteobacteria,Basidiomycota,1,684,1025,1052
Agrobacterium,No,Yes,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium,357,5543,Proteobacteria,Ascomycota,36,678,1025,1050
Bradyrhizobium,No,Yes,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",374,37991,Proteobacteria,Ascomycota,6,685,1025,1050
Staphylococcus,No,Yes,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",1279,37991,Firmicutes,Ascomycota,37,685,119,1050
Stenotrophomonas,No,Yes,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,40323,40144,Proteobacteria,Basidiomycota,33,686,1025,1052
Pseudomonas,Yes,Yes,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium,286,5543,Proteobacteria,Ascomycota,29,678,1025,1050
Stenotrophomonas,Yes,Yes,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium,40323,5543,Proteobacteria,Ascomycota,33,678,1025,1050
Mycoplasma,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",2093,5506,Tenericutes,Ascomycota,38,679,85,1050
Candidatus Moeniiplasma,No,No,Yes,Claroideoglomus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,1129545,Tenericutes,Mucoromycota,39,687,85,1051
Candidatus Moeniiplasma,No,No,Yes,Gigaspora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,4873,Tenericutes,Mucoromycota,39,688,85,1051
Candidatus Moeniiplasma,No,No,Yes,Claroideoglomus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,1129545,Tenericutes,Mucoromycota,39,687,85,1051
Candidatus Moeniiplasma,No,No,Yes,Funneliformis,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,1117308,Tenericutes,Mucoromycota,39,689,85,1051
Candidatus Moeniiplasma,No,No,Yes,Scutellospora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,27382,Tenericutes,Mucoromycota,39,690,85,1051
Candidatus Moeniiplasma,No,No,Yes,Rhizophagus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,295919,Tenericutes,Mucoromycota,39,691,85,1051
Candidatus Moeniiplasma,No,No,Yes,Glomus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,4875,Tenericutes,Mucoromycota,39,692,85,1051
Candidatus Moeniiplasma,No,No,Yes,Dentiscutata,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,756610,Tenericutes,Mucoromycota,39,693,85,1051
Candidatus Moeniiplasma,No,No,Yes,Cetraspora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,940661,Tenericutes,Mucoromycota,39,694,85,1051
Candidatus Moeniiplasma,No,No,Yes,Racocetra,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,940663,Tenericutes,Mucoromycota,39,695,85,1051
Candidatus Moeniiplasma,No,No,Yes,Ambispora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,453566,Tenericutes,Mucoromycota,39,696,85,1051
Candidatus Moeniiplasma,No,No,Yes,Geosiphon,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,50955,Tenericutes,Mucoromycota,39,697,85,1051
Candidatus Moeniiplasma,No,No,Yes,Jimgerdemannia,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,2052799,Tenericutes,Mucoromycota,39,698,85,1051
Candidatus Moeniiplasma,No,No,Yes,Endogone,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,4871,Tenericutes,Mucoromycota,39,699,85,1051
Candidatus Moeniiplasma,No,No,Yes,Mortierella,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,4855,Tenericutes,Mucoromycota,39,700,85,1051
Candidatus Moeniiplasma,No,No,Yes,Lobosporangium,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle",1822366,299330,Tenericutes,Mucoromycota,39,701,85,1051
Burkholderia,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",32008,5506,Proteobacteria,Ascomycota,40,679,1025,1050
Mycoavidus,No,No,Yes,Mortierella,https://doi.org/10.1111/1462-2920.13669,Comparative genomics of Mortierella elongata and its bacterial endosymbiont Mycoavidus cysteinexigens,1810868,4855,Proteobacteria,Mucoromycota,41,700,1025,1051
Microbacterium,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,33882,5340,Actinobacteria,Basidiomycota,24,702,109,1052
Pseudomonas,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,5340,Proteobacteria,Basidiomycota,29,702,1025,1052
Ewingella,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,41201,5340,Proteobacteria,Basidiomycota,42,702,1025,1052
Enterobacter,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,547,5340,Proteobacteria,Basidiomycota,16,702,1025,1052
Pseudomonas,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,41955,Proteobacteria,Basidiomycota,29,684,1025,1052
Janthinobacterium,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,29580,41955,Proteobacteria,Basidiomycota,43,684,1025,1052
Enterobacter,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,547,41955,Proteobacteria,Basidiomycota,16,684,1025,1052
Burkholderia,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,32008,41955,Proteobacteria,Basidiomycota,40,684,1025,1052
Burkholderia,No,No,Yes,Leccinum,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,32008,80654,Proteobacteria,Basidiomycota,40,703,1025,1052
Chryseobacterium,No,No,Yes,Leccinum,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,59732,80654,Bacteroidota,Basidiomycota,8,703,1028,1052
Novosphingobium,No,No,Yes,Leccinum,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,165696,80654,Proteobacteria,Basidiomycota,26,703,1025,1052
Chitinophaga,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,79328,36065,Bacteroidota,Basidiomycota,44,704,1028,1052
Rhizobium,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,379,36065,Proteobacteria,Basidiomycota,45,704,1025,1052
Bacteroides,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,816,36065,Bacteroidota,Basidiomycota,5,704,1028,1052
Hafnia,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,568,36065,Proteobacteria,Basidiomycota,46,704,1025,1052
Enterobacter,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,547,36065,Proteobacteria,Basidiomycota,16,704,1025,1052
Pedobacter,Yes,No,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,84567,5193,Bacteroidota,Ascomycota,47,705,1028,1050
Pseudomonas,No,Yes,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,5193,Proteobacteria,Ascomycota,29,705,1025,1050
Stenotrophomonas,No,Yes,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,40323,5193,Proteobacteria,Ascomycota,33,705,1025,1050
Flavobacterium,Yes,No,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,237,5193,Bacteroidota,Ascomycota,48,705,1028,1050
Pseudomonas,No,No,Yes,Leucangium,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,44613,Proteobacteria,Ascomycota,29,706,1025,1050
Janthinobacterium,No,No,Yes,Leucangium,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,29580,44613,Proteobacteria,Ascomycota,43,706,1025,1050
Janthinobacterium,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,29580,720593,Proteobacteria,Ascomycota,43,707,1025,1050
Flavobacterium,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,237,720593,Bacteroidota,Ascomycota,48,707,1028,1050
Rhizobium,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,379,720593,Proteobacteria,Ascomycota,45,707,1025,1050
Pseudomonas,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,720593,Proteobacteria,Ascomycota,29,707,1025,1050
Burkholderia,No,No,Yes,Lactarius,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,32008,34444,Proteobacteria,Basidiomycota,40,708,1025,1052
Shewanella,No,No,Yes,Lactarius,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,22,34444,Proteobacteria,Basidiomycota,49,708,1025,1052
Dyella,No,No,Yes,Lactarius,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,231454,34444,Proteobacteria,Basidiomycota,15,708,1025,1052
Burkholderia,No,No,Yes,Suillus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,32008,5379,Proteobacteria,Basidiomycota,40,681,1025,1052
Pseudomonas,No,No,Yes,Suillus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,5379,Proteobacteria,Basidiomycota,29,681,1025,1052
Sinorhizobium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,28105,36048,Proteobacteria,Ascomycota,50,709,1025,1050
Bradyrhizobium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,374,36048,Proteobacteria,Ascomycota,6,709,1025,1050
Rhizobium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,379,36048,Proteobacteria,Ascomycota,45,709,1025,1050
Microbacterium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,33882,36048,Actinobacteria,Ascomycota,24,709,109,1050
Polaromonas,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,52972,36048,Proteobacteria,Ascomycota,51,709,1025,1050
Pseudomonas,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,36048,Proteobacteria,Ascomycota,29,709,1025,1050
Variovorax,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,34072,36048,Proteobacteria,Ascomycota,35,709,1025,1050
Propionibacterium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,1743,36048,Actinobacteria,Ascomycota,28,709,109,1050
Pseudomonas,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,286,40144,Proteobacteria,Basidiomycota,29,686,1025,1052
Serratia,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,613,40144,Proteobacteria,Basidiomycota,52,686,1025,1052
Mycetocola,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,76634,40144,Actinobacteria,Basidiomycota,53,686,109,1052
Ewingella,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses,41201,40144,Proteobacteria,Basidiomycota,42,686,1025,1052
Candidatus Glomeribacter,No,No,Yes,Gigaspora,https://doi.org/10.1016/j.mib.2019.08.004,The mycobiota: fungi take their place between plants and bacteria,224135,4873,Proteobacteria,Mucoromycota,54,688,1025,1051
Nostoc,No,No,Yes,Geosiphon,https://doi.org/10.1016/j.fbr.2018.08.003,Endohyphal bacteria; the prokaryotic modulators of host fungal biology,1177,50955,Cyanobacteria,Mucoromycota,55,697,1030,1051
Acinetobacter,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",469,37991,Proteobacteria,Ascomycota,1,685,1025,1050
Acinetobacter,No,No,Yes,Calonectria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",469,57138,Proteobacteria,Ascomycota,1,710,1025,1050
Sphingomonas,No,No,Yes,Hypoxylon,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",13687,42308,Proteobacteria,Ascomycota,32,711,1025,1050
Sphingomonas,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves",13687,37991,Proteobacteria,Ascomycota,32,685,1025,1050
Xanthomonadaceae,No,No,Yes,Alternaria,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes,32033,5598,Proteobacteria,Ascomycota,56,712,1025,1050
Xanthomonadaceae,No,No,Yes,Preussia,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes,32033,265084,Proteobacteria,Ascomycota,56,713,1025,1050
Xanthomonadaceae,No,No,Yes,Pestalotiopsis,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes,32033,37840,Proteobacteria,Ascomycota,56,714,1025,1050
Xanthomonadaceae,No,No,Yes,Botryosphaeria,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes,32033,45132,Proteobacteria,Ascomycota,56,715,1025,1050
