Bacterial_associate_taxa,Found_in_16S-CC,Found_in_BSS,Found_in_previous_work,Fungal_host_taxa,Link,Source
Curtobacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Delftia,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Dyella,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Enterobacter,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Granulicatella,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Haemophilus,Yes,No,Yes,Phoma,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Lactobacillus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Lactococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Lysobacter,Yes,No,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium
Massilia,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Massilia,Yes,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil
Mesorhizobium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Microbacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Mycobacterium,Yes,No,Yes,Mucor,https://doi.org/10.1016/j.fgb.2016.07.011,Fungus-associated bacteriome in charge of their host behavior
Novosphingobium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Pelomonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Propionibacterium,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Pseudomonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Pseudomonas,Yes,No,Yes,Penicillium,https://doi.org/10.1371/journal.pone.0187116,A novel baiting microcosm approach used to identify the bacterial community associated with Penicillium bilaii hyphae in soil
Rhodococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Rothia,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Sphingomonas,Yes,No,Yes,Phoma,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Stenotrophomonas,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Streptococcus,Yes,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Variovorax,Yes,No,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium
Acinetobacter,No,Yes,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Agrobacterium,No,Yes,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium
Bradyrhizobium,No,Yes,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Staphylococcus,No,Yes,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Stenotrophomonas,No,Yes,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,Yes,Yes,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium
Stenotrophomonas,Yes,Yes,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium
Mycoplasma,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Candidatus Moeniiplasma,No,No,Yes,Claroideoglomus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Gigaspora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Claroideoglomus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Funneliformis,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Scutellospora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Rhizophagus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Glomus,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Dentiscutata,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Cetraspora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Racocetra,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Ambispora,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Geosiphon,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Jimgerdemannia,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Endogone,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Mortierella,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Candidatus Moeniiplasma,No,No,Yes,Lobosporangium,https://doi.org/10.1038/s41396-018-0053-9,"Mycoplasma-related endobacteria within Mortierellomycotina fungi: diversity, distribution and functional insights into their lifestyle"
Burkholderia,No,No,Yes,Fusarium,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Mycoavidus,No,No,Yes,Mortierella,https://doi.org/10.1111/1462-2920.13669,Comparative genomics of Mortierella elongata and its bacterial endosymbiont Mycoavidus cysteinexigens
Microbacterium,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Ewingella,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Enterobacter,No,No,Yes,Agaricus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Janthinobacterium,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Enterobacter,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Burkholderia,No,No,Yes,Amanita,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Burkholderia,No,No,Yes,Leccinum,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Chryseobacterium,No,No,Yes,Leccinum,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Novosphingobium,No,No,Yes,Leccinum,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Chitinophaga,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Rhizobium,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Bacteroides,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Hafnia,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Enterobacter,No,No,Yes,Cantharellus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pedobacter,Yes,No,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,Yes,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Stenotrophomonas,No,Yes,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Flavobacterium,Yes,No,Yes,Morchella,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,No,Yes,Leucangium,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Janthinobacterium,No,No,Yes,Leucangium,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Janthinobacterium,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Flavobacterium,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Rhizobium,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,No,Yes,Kalapuya,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Burkholderia,No,No,Yes,Lactarius,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Shewanella,No,No,Yes,Lactarius,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Dyella,No,No,Yes,Lactarius,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Burkholderia,No,No,Yes,Suillus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,No,Yes,Suillus,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Sinorhizobium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Bradyrhizobium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Rhizobium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Microbacterium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Polaromonas,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Variovorax,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Propionibacterium,No,No,Yes,Tuber,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Pseudomonas,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Serratia,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Mycetocola,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Ewingella,No,No,Yes,Tricholoma,https://peerj.com/articles/7744,Microbial communities associated with the black morel Morchella sextelata cultivated in greenhouses
Candidatus Glomeribacter,No,No,Yes,Gigaspora,https://doi.org/10.1016/j.mib.2019.08.004,The mycobiota: fungi take their place between plants and bacteria
Nostoc,No,No,Yes,Geosiphon,https://doi.org/10.1016/j.fbr.2018.08.003,Endohyphal bacteria; the prokaryotic modulators of host fungal biology
Acinetobacter,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Acinetobacter,No,No,Yes,Calonectria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Sphingomonas,No,No,Yes,Hypoxylon,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Sphingomonas,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Xanthomonadaceae,No,No,Yes,Alternaria,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Preussia,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Pestalotiopsis,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Botryosphaeria,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Phyllosticta,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Oxalobacteraceae,No,No,Yes,Hormonema,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Haemophilus,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Mycetohabitans,No,No,Yes,Rhizopus,https://doi.org/10.1021/acschembio.9b00805,Genome Mining and Heterologous Expression Reveal Two Distinct Families of Lasso Peptides Highly Conserved in Endofungal Bacteria
Cohnella,No,No,Yes,Trichoderma,https://doi.org/10.1111/1574-6968.12287,Isolation of oxalotrophic bacteria able to disperse on fungal mycelium
Pantoea,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Pantoea,No,No,Yes,Microdiplodia,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Pantoea,No,No,Yes,Pestalotiopsis,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Pantoea,No,No,Yes,Phyllosticta,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Variovorax,No,No,Yes,Lecythophora,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Oxalobacteraceae,No,No,Yes,Hormonema,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Alternaria,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Preussia,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Pestalotiopsis,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Botryosphaeria,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Xanthomonadaceae,No,No,Yes,Phyllosticta,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Bacillus,No,No,Yes,Pithya,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Bacillus,No,No,Yes,Phaeomoniella,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Bacillus,No,No,Yes,Pestalotiopsis,https://doi.org/10.1128/AEM.02928-09,Diverse Bacteria Inhabit Living Hyphae of Phylogenetically Diverse Fungal Endophytes
Bacillus,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Paenibacillus,No,No,Yes,Gliocladiopsis,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Luteibacter,No,No,Yes,Hypoxylon,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Rhizobium,No,No,Yes,Entonaema,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Rhizobium,No,No,Yes,Hypoxylon,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Rhizobium,No,No,Yes,Cantharellales,https://doi.org/10.1038/s41396-020-0674-7,Fruitbody chemistry underlies the structure of endofungal bacterial communities across fungal guilds and phylogenetic groups
Rhizobium,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Chitinophaga,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Mucilaginibacter,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Tardiphaga,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Burkholderia,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Pseudomonas,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Pedobacter,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Bradyrhizobium,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Salinibacterium,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Novosphingobium,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Frigoribacterium,No,No,Yes,Cantharellus,https://doi.org/10.1093/femsec/fiaa175,Bacterial community dynamics across developmental stages of fungal fruiting bodies
Massilia,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Massilia,No,No,Yes,Nectriaceae,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Massilia,No,No,Yes,Agaricales,https://doi.org/10.1038/s41396-020-0674-7,Fruitbody chemistry underlies the structure of endofungal bacterial communities across fungal guilds and phylogenetic groups
Pseudomonas,No,No,Yes,Entonaema,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Pseudomonas,No,No,Yes,Xylaria,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
Pseudomonas,No,No,Yes,Nectriaceae,https://doi.org/10.3389/fevo.2016.00116,"Diversity, Specificity, and Phylogenetic Relationships of Endohyphal Bacteria in Fungi That Inhabit Tropical Seeds and Leaves"
